1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
7912,Naagaaniiyang Limited Partnership (NLP),613 Main St,Lively,Ontario,P3Y 1N3,705-692-9347,2023-04-28,,,2023-10-12 13:06:42,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
7932,Groupe Dumont,"1410 rue de Jaffa, Ste 301",Laval,Quebec,H7P 4K9,514-447-5166,2023-04-27,,,2023-10-12 13:06:42,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
7946,Carey Alphabet II Nominee Corp,"181 Bay St, Ste 4400",Toronto,Ontario,M5J 2T3,,2023-04-19,,,2023-10-12 13:06:42,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
7948,Carey Alphabet II Nominee Corp,"181 Bay St, Ste 4400",Toronto,Ontario,M5J 2T3,,2023-04-19,,,2023-10-12 13:06:42,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
7950,Carey Alphabet II Nominee Corp,"181 Bay St, Ste 4400",Toronto,Ontario,M5J 2T3,,2023-04-19,,,2023-10-12 13:06:42,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8056,Groupe Dumont,"1410 rue de Jaffa, Ste 301",Laval,Quebec,H7P 4K9,514-447-5166,2023-04-27,,,2023-10-12 13:06:43,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8062,Carey Alphabet II Nominee Corp,"181 Bay St, Ste 4400",Toronto,Ontario,M5J 2T3,,2023-04-19,,,2023-10-12 13:06:43,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8064,Carey Alphabet II Nominee Corp,"181 Bay St, Ste 4400",Toronto,Ontario,M5J 2T3,,2023-04-19,,,2023-10-12 13:06:43,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8066,Carey Alphabet II Nominee Corp,"181 Bay St, Ste 4400",Toronto,Ontario,M5J 2T3,,2023-04-19,,,2023-10-12 13:06:43,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8126,Naagaaniiyang Limited Partnership (NLP),613 Main St,Lively,Ontario,P3Y 1N3,705-692-9347,2023-04-28,,,2023-10-12 13:06:44,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8268,Groupe Monaco,3455 Jarry East,Montreal,Quebec,H1Z 2G1,800-361-0578,2022-08-17,,,2023-10-12 13:06:46,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8270,Tribal Partners Inc,"2700 Steeles Ave W, Ste 201",Vaughan,Ontario,L4K 3C8,905-567-0808,2022-08-16,,,2023-10-12 13:06:46,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8272,Tribal Partners Inc,"2700 Steeles Ave W, Ste 201",Vaughan,Ontario,L4K 3C8,905-567-0808,2022-08-16,,,2023-10-12 13:06:46,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8410,Tribal Partners Inc,"2700 Steeles Ave W, Ste 201",Vaughan,Ontario,L4K 3C8,905-567-0808,2022-08-16,,,2023-10-12 13:06:48,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8412,Tribal Partners Inc,"2700 Steeles Ave W, Ste 201",Vaughan,Ontario,L4K 3C8,905-567-0808,2022-08-16,,,2023-10-12 13:06:48,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8454,Tribal Partners Inc,"2700 Steeles Ave W, Ste 201",Vaughan,Ontario,L4K 3C8,905-567-0808,2022-08-16,,,2023-10-12 13:06:48,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8456,Tribal Partners Inc,"2700 Steeles Ave W, Ste 201",Vaughan,Ontario,L4K 3C8,905-567-0808,2022-08-16,,,2023-10-12 13:06:48,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8590,Bianchi Presta LLP,"3rd Floor, Building A",Vaughan,Ontario,L4K 0A4,905-738-1078,2023-08-22,,,2023-10-12 13:06:50,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8794,Hagersville Landmark Limited Partnership,"1 Duncan Mill Rd, Ste GS1",Toronto,Ontario,M3B 1Z2,,2023-08-30,,,2023-10-12 13:06:53,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8816,RLB LLP,"197 Hanlon Creek Blvd, Ste 103",Guelph,Ontario,N1C 0A1,519-822-9933,2023-08-25,rlbllp.com,,2023-12-05 22:10:55,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8891,Forge &amp; Foster Partners Inc,29 Harriet St,Hamilton,Ontario,L8R 2E5,888-410-9440,2023-08-31,,,2023-10-12 13:06:54,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8894,Forager Real Estate Partners,"52 Scarsdale Rd,",Toronto,Ontario,M3B 2R7,416-580-9700,2023-08-30,,,2023-10-12 13:06:54,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8913,Petek LLP,3705 Lindsay Rd,,,USA - 98247,,2023-08-24,,,2023-10-12 13:06:54,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8926,Newmar Windows - Alpha Lumber Group,7630 Airport Rd,Mississauga,Ontario,L4T 4G6more info: mi.pdf,905-672-1233,2023-08-18,,,2023-10-12 13:06:54,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
8982,Thunder Bay Pulp and Paper Inc,2001 Neebing Ave,Thunder Bay,Ontario,P7E 6S3,,2023-08-01,,,2023-10-12 13:06:55,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
9006,Newmar Windows - Alpha Lumber Group,7630 Airport Rd,Mississauga,Ontario,L4T 4G6more info: mi.pdf,905-672-1233,2023-08-18,,,2023-10-12 13:06:56,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
9165,Toemar Landscape - Garden Supplies,1005 Eglinton Ave W,Mississauga,Ontario,L5V 1R7,905-826-3821,2023-10-05,,,2023-10-21 20:00:56,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
9168,Rona Guelph,55 Dawson Rd,Guelph,Ontario,N1H 1B1,519-821-5744,2023-10-05,ronaguelph.ca,,2023-12-02 13:35:16,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
