1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
11328,Plaza REIT,"110 Sheppard Ave E, Ste 640",Toronto,Ontario,M2N 6Y8,416-361-5892,2020-08-14,,,2023-10-27 15:30:07,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11341,SmartCentre REIT,3200 Highway 7,Vaughan,Ontario,L4K 5Z5,905-326-6400,2020-04-21,,,2023-10-27 15:30:07,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11352,Crombie REIT,"610 East River Rd, Ste 200",New Glasgow,NS,B2H 3S2,902-755-8100,2021-12-09,crombie.ca,,2023-12-09 16:46:16,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11355,RioCan REIT,,Toronto,Ontario,M4P 1E4,800-465-2733,2021-11-05,,,2023-10-27 15:30:28,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11358,Slate Office REIT,"121 King St W, Ste 200",Toronto,Ontario,M5H 3T9,416-644-4264,2021-10-18,slateam.com,,2023-12-09 16:46:13,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11378,Nexus REIT,"2045 rue Stanley, Ste 1200",Montreal,Quebec,H3A 2V4,514-840-9339,2021-04-01,,,2023-10-27 15:32:04,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11396,Calloway REIT (Stouffville) Inc,3200 Highway 7,Vaughan,Ontario,L4K 5Z5,905-326-6400,2022-04-04,,,2023-10-27 15:32:33,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11400,Dream Office REIT,"30 Adelaide St E, Ste 301",Toronto,Ontario,M5C 3H1,416-365-3535,2019-11-28,dundeereit.com,,2023-12-09 16:46:16,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11407,SmartCentres REIT (411 Church) Inc,3200 Highway 7,Vaughan,Ontario,L4K 5Z5,905-326-6400,2019-10-15,,,2023-10-27 15:33:34,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11420,SmartCentres REIT (2131 Lakeshore) Inc,3200 Highway 7,Vaughan,Ontario,L4K 5Z5,905-326-6400,2019-08-01,,,2023-10-27 15:33:35,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11426,Northview Apartment REIT,,Calgary,Alberta,T2H 1L9,403-531-0720,2019-04-18,,,2023-10-27 15:33:35,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11432,"Reiter, Nemetz","298 Sheppard Ave W, Ste 100",Toronto,Ontario,M3B 2T8,416-665-1458,2019-02-04,,,2023-10-27 15:33:36,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11440,Dundee REIT,"30 Adelaide St E, Ste 1600",Toronto,Ontario,M5C 3H1,416-365-3535,2013-12-02,,,2023-10-29 16:27:48,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11444,First Reliance REIT,,Toronto,Ontario,M5X 1E3,416-941-1266,2013-11-20,,,2023-10-29 16:27:48,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11446,Retrocom REIT,"700 Applewood Cres, Ste 300",Vaughan,Ontario,L4K 5X3,416-741-7999,2013-10-11,,,2023-10-29 16:27:48,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11448,Calloway REIT (Dundix) Inc,"700 Applewood Cres, Ste 200",Vaughan,Ontario,L4K 5X3,905-326-6400,2013-09-30,callowayreit.com,,2023-12-02 13:41:13,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11454,Calloway REIT (Kanata) Inc,"700 Applewood Cres, Ste 200",Vaughan,Ontario,L4K 5X3,905-326-6400,2013-08-29,,,2023-10-29 16:27:48,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11455,Calloway REIT (Niagara Falls) Inc,"700 Applewood Cres, Ste 200",Vaughan,Ontario,L4K 5X3,905-326-6400,2013-08-29,,,2023-10-29 16:27:48,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11456,Calloway REIT (Port Perry) Inc,"700 Applewood Cres, Ste 200",Vaughan,Ontario,L4K 5X3,905-326-6400,2013-08-29,,,2023-10-29 16:27:48,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11470,Calloway REIT (Whitby Shores) Inc,"700 Applewood Cres, Ste 200",Vaughan,Ontario,L4K 5X3,905-326-6400,2013-03-28,,,2023-10-29 16:27:50,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
11471,Calloway REIT (Stoney Creek) Inc,"700 Applewood Cres, Ste 200",Vaughan,Ontario,L4K 5X3,905-326-6400,2013-03-28,,,2023-10-29 16:27:50,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
