1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
12935,Ber-Glatt Investments Ltd,107 Edmund Seager Dr,Thornhill,Ontario,L4J 4S5,905-731-7252,2019-07-10,,,2023-11-02 18:15:32,'2023-11-02 18:15:32'),investment,investment,0,1,0,0,0,0,0,0,0
12970,Woodman Drive Holding Corp,"220 Wyecroft Rd, Ste 303",Oakville,Ontario,L6K 3V1,226-271-0288,2020-12-16,,,2023-11-02 18:15:34,'2023-11-02 18:15:34'),investment,investment,0,1,0,0,0,0,0,0,0
12989,Northern Gate Investments Inc,"325 West St, Ste A100",Brantford,Ontario,N2R 3V6,519-756-5385,2020-11-30,,,2023-11-02 18:15:34,'2023-11-02 18:15:34'),investment,investment,0,1,0,0,0,0,0,0,0
12993,Renetta Cook Holdings Ltd,20895 Brunon Ave,Seagrave,Ontario,L0C 1G0,,2020-11-26,,,2023-11-02 18:15:35,'2023-11-02 18:15:35'),investment,investment,0,1,0,0,0,0,0,0,0
12996,Sluban Holdings Ltd,245 Isabella Ave,Mississauga,Ontario,L5B 1B1,905-281-2721,2020-11-25,,,2023-11-02 18:15:35,'2023-11-02 18:15:35'),investment,investment,0,1,0,0,0,0,0,0,0
13006,First Edward Investments Ltd,42 Markland Dr,London,Ontario,N6C 5K1,519-434-8400,2020-11-19,,,2023-11-02 18:15:35,'2023-11-02 18:15:35'),investment,investment,0,1,0,0,0,0,0,0,0
13007,F&amp;S Atlas Holdings Inc,2260 Doulton Dr,Mississauga,Ontario,L5H 3M1,905-891-6343,2020-11-19,,,2023-11-02 18:15:35,'2023-11-02 18:15:35'),investment,investment,0,1,0,0,0,0,0,0,0
13012,ANY Investments Inc,18 Dundalk Cres,Brampton,Ontario,L6Z 2V4,905-846-0275,2020-11-16,,,2023-11-02 18:15:35,'2023-11-02 18:15:35'),investment,investment,0,1,0,0,0,0,0,0,0
13020,Skyline Real Estate Holdings (II) Inc,"5 Douglas St, Ste 301",Guelph,Ontario,N1H 2S8,519-826-0439,2020-11-02,,,2023-11-02 18:15:35,'2023-11-02 18:15:35'),investment,investment,0,1,0,0,0,0,0,0,0
13030,Padana Holdings Inc,"86 Woodbridge Ave, Ste 206",Woodbridge,Ontario,L4L 0E4,,2020-10-23,,,2023-11-02 18:15:36,'2023-11-02 18:15:36'),investment,investment,0,1,0,0,0,0,0,0,0
13031,Lake Horizon Holdings Inc,"3980 Grand Park Dr, Ste 43189",Mississauga,Ontario,L5B 4M6,905-271-1161,2020-10-23,,,2023-11-02 18:15:36,'2023-11-02 18:15:36'),investment,investment,0,1,0,0,0,0,0,0,0
13032,Barney River Investments,"2 Adelaide St W, Ste 3910",Toronto,Ontario,M5H 4E3,416-620-7200,2020-10-21,barneyriver.com,,2023-12-02 13:43:41,'2023-11-02 18:15:36'),investment,investment,0,1,0,0,0,0,0,0,0
13039,Roso Investments Corp,236 Finch Ave W,Toronto,Ontario,L5T 0A4,905-947-9924,2020-10-15,,,2023-11-02 18:15:36,'2023-11-02 18:15:36'),investment,investment,0,1,0,0,0,0,0,0,0
13041,Frankor Capital Corp,311 Montrose St N,Cambridge,Ontario,N3H 2H6,519-650-3064,2020-10-15,,,2023-11-02 18:15:36,'2023-11-02 18:15:36'),investment,investment,0,1,0,0,0,0,0,0,0
13043,Galida Holdings Ltd,"461 North Service Rd, Unit B7",Oakville,Ontario,L6M 2V5,905-847-6700,2020-10-14,,,2023-11-02 18:15:36,'2023-11-02 18:15:36'),investment,investment,0,1,0,0,0,0,0,0,0
13044,Miletta Maplecrete Holdings Ltd,96 Highmark Dr,Vaughan,Ontario,L4H 0J6,905-553-7147,2020-10-14,,,2023-11-02 18:15:36,'2023-11-02 18:15:36'),investment,investment,0,1,0,0,0,0,0,0,0
13049,400 Elizabeth Street Holdings Inc,435 Sheldon Dr,Cambridge,Ontario,N1T 2B7,519-836-7060,2020-10-07,,,2023-11-02 18:15:36,'2023-11-02 18:15:36'),investment,investment,0,1,0,0,0,0,0,0,0
13058,Fulburn Holdings Ltd,"383 Ellis Park Rd, Unit 101",Toronto,Ontario,M6S 5B2,,2020-10-01,,,2023-11-02 18:15:37,'2023-11-02 18:15:37'),investment,investment,0,1,0,0,0,0,0,0,0
13060,1719 Bathurst St Investments Ltd,14 Cherry Blossom Lane,Thornhill,Ontario,L3T 3B9,,2020-09-30,,,2023-11-02 18:15:37,'2023-11-02 18:15:37'),investment,investment,0,1,0,0,0,0,0,0,0
13067,800 Princess Street Holdings Ltd,"200 Ronson Dr, Ste 203",Toronto,Ontario,M9W 5Z9,416-645-2272,2020-09-14,,,2023-11-02 18:15:38,'2023-11-02 18:15:38'),investment,investment,0,1,0,0,0,0,0,0,0
13075,Benko Investments Inc,500 Waydom Dr,Ayr,Ontario,N0B 1E0,,2020-09-04,,,2023-11-02 18:15:38,'2023-11-02 18:15:38'),investment,investment,0,1,0,0,0,0,0,0,0
13077,Four Site Investment Corp,"4363 Victoria Rd S, RR 1",Puslinch,Ontario,N0B 2J0,,2020-08-31,,,2023-11-02 18:15:38,'2023-11-02 18:15:38'),investment,investment,0,1,0,0,0,0,0,0,0
13088,D Raschilla investments Inc,,Woodbridge,Ontario,L4L 4S5,,2020-08-13,,,2023-11-02 18:15:38,'2023-11-02 18:15:38'),investment,investment,0,1,0,0,0,0,0,0,0
13090,D. Raschill Investments Inc,,Woodbridge,Ontario,L4L 4S5,,2020-08-13,,,2023-11-02 18:15:38,'2023-11-02 18:15:38'),investment,investment,0,1,0,0,0,0,0,0,0
13092,Adit Holdings Ltd,96 Pleasant Blvd,Toronto,Ontario,M4T 1J8,416-966-3370,2020-08-11,,,2023-11-02 18:15:39,'2023-11-02 18:15:39'),investment,investment,0,1,0,0,0,0,0,0,0
13093,Elvaston Holdings Inc,480 Main St N,Brampton,Ontario,L6V 1P8,,2020-08-06,,,2023-11-02 18:15:39,'2023-11-02 18:15:39'),investment,investment,0,1,0,0,0,0,0,0,0
13095,Carnforth (Toronto) Holdings Ltd,"242 Main St St, Ste 200",Hamilton,Ontario,L8N 1G6,905-528-8956,2020-07-31,,,2023-11-02 18:15:39,'2023-11-02 18:15:39'),investment,investment,0,1,0,0,0,0,0,0,0
13098,Scollard Investments (91) Inc,325 West 4th Ave,Vancouver,BC,V5Y 1H3,,2020-07-17,,,2023-11-02 18:15:39,'2023-11-02 18:15:39'),investment,investment,0,1,0,0,0,0,0,0,0
13099,Supa Fly Holdings Company Inc,55 Plymbridge Rd,North York,Ontario,M2P 1A2,416-960-2430,2020-07-17,,,2023-11-02 18:15:39,'2023-11-02 18:15:39'),investment,investment,0,1,0,0,0,0,0,0,0
13100,Stewart Investments Inc,"247 Davenport Rd, Ste 202",Toronto,Ontario,M5R 1J9,416-967-4600,2020-07-16,,,2023-11-02 18:15:39,'2023-11-02 18:15:39'),investment,investment,0,1,0,0,0,0,0,0,0
13106,Smar Holdings Ltd,,Hamilton,Ontario,L8P 1T3,,2019-06-28,,,2023-11-02 18:15:39,'2023-11-02 18:15:39'),investment,investment,0,1,0,0,0,0,0,0,0
13113,Jeli Holdings Inc,"36 Eglinton Ave W, Ste 606",Toronto,Ontario,M4R 1A1,,2019-06-27,,,2023-11-02 18:15:40,'2023-11-02 18:15:40'),investment,investment,0,1,0,0,0,0,0,0,0
13122,Grand Prix Holdings Ltd,4362 Cypress St,Vancouver,BC,V6J 3R1,,2019-06-27,,,2023-11-02 18:15:40,'2023-11-02 18:15:40'),investment,investment,0,1,0,0,0,0,0,0,0
13123,Kingco Holding Corp,455 McMahen St,London,Ontario,N5Y 0A2,226-663-4752,2019-06-27,,,2023-11-02 18:15:40,'2023-11-02 18:15:40'),investment,investment,0,1,0,0,0,0,0,0,0
